"","uid","x","y","z","t","dow","timestamp","distance","dt","speed"
"5","614820f9e6",717271.160276031,9676865.48856045,2617.3,6.65861,3,1685428771,0.33448673222574,7.32361111111111,0.0456723776223275
"6","614820f9e6",717304.872480682,9676851.24021825,2617.3,6.65944,3,1685428774,0.0365995628113789,0.000833333333333333,43.9194753736547
"7","614820f9e6",717338.828222549,9676842.75358113,2617.3,6.66056,3,1685428778,0.03500022021806,0.00111111111111111,31.500198196254
"8","614820f9e6",717375.946932967,9676830.7444166,2617.3,6.66167,3,1685428782,0.0390130580165849,0.00111111111111111,35.1117522149264
"9","614820f9e6",717408.750963736,9676818.5879113,2617.3,6.6625,3,1685428785,0.0349840685987584,0.000833333333333333,41.98088231851
"10","614820f9e6",717440.068470051,9676808.44686194,2617.3,6.66333,3,1685428788,0.0329184915214401,0.000833333333333333,39.5021898257281
"11","614820f9e6",717469.628383569,9676797.91071013,2617.3,6.66417,3,1685428791,0.0313815070086928,0.000833333333333333,37.6578084104313
"12","614820f9e6",717502.807838557,9676784.23832363,2617.3,6.66528,3,1685428795,0.0358860750994257,0.00111111111111111,32.2974675894831
"13","614820f9e6",717536.466051308,9676770.91900246,2617.3,6.66639,3,1685428799,0.0361977844877457,0.00111111111111111,32.5780060389711
"14","614820f9e6",717570.86914143,9676757.52095079,2617.3,6.6675,3,1685428803,0.0369199187236144,0.00111111111111111,33.227926851253
"15","614820f9e6",717602.141085383,9676746.76057261,2617.3,6.66861,3,1685428807,0.0330714411111331,0.00111111111111111,29.7642970000198
"16","614820f9e6",717631.891048333,9676736.81020109,2617.3,6.67,3,1685428812,0.0313698930348388,0.00138888888888889,22.5863229850839
"17","614820f9e6",717652.947441707,9676734.3845772,2617.3,6.67083,3,1685428815,0.0211956446731508,0.000833333333333333,25.434773607781
"18","614820f9e6",717672.139435751,9676727.70417854,2617.3,6.67194,3,1685428819,0.0203214261731451,0.00111111111111111,18.2892835558305
"19","614820f9e6",717690.483271859,9676719.26674682,2617.3,6.67306,3,1685428823,0.0201912500159817,0.00111111111111111,18.1721250143835
"20","614820f9e6",717710.755044726,9676713.25910402,2617.3,6.67417,3,1685428827,0.021143238804604,0.00111111111111111,19.0289149241436
"21","614820f9e6",717731.74621723,9676705.3147369,2617.3,6.675,3,1685428830,0.0224442039724692,0.000833333333333333,26.933044766963
"22","614820f9e6",717752.194688424,9676698.61000885,2617.3,6.67583,3,1685428833,0.0215196039104931,0.000833333333333333,25.8235246925917
"23","614820f9e6",717774.276837114,9676691.38261511,2617.3,6.67722,3,1685428838,0.0232348124810395,0.00138888888888889,16.7290649863485
"24","614820f9e6",717796.265319987,9676681.45678712,2617.3,6.67861,3,1685428843,0.0241249961712084,0.00138888888888889,17.3699972432701
"25","614820f9e6",717816.92537173,9676674.92863117,2617.3,6.67972,3,1685428847,0.0216669000602463,0.00111111111111111,19.5002100542217
"26","614820f9e6",717841.0417157,9676667.29951735,2617.3,6.68139,3,1685428853,0.0252942962769637,0.00166666666666667,15.1765777661782
"27","614820f9e6",717860.090097262,9676661.16125723,2604.4,6.68389,3,1685428862,0.0200129727283406,0.0025,8.00518909133623
"28","614820f9e6",717869.991583041,9676657.64907469,2604.4,6.70333,3,1685428932,0.0105059434040928,0.0194444444444444,0.540305660781917
"29","614820f9e6",717876.741039359,9676644.80791512,2604.4,6.70444,3,1685428936,0.0145069135193245,0.00111111111111111,13.056222167392
"30","614820f9e6",717877.746162404,9676621.82387851,2604.4,6.70528,3,1685428939,0.0230060038077879,0.000833333333333333,27.6072045693455
"31","614820f9e6",717866.372518673,9676597.35731997,2604.4,6.70611,3,1685428942,0.026980961034313,0.000833333333333333,32.3771532411756
"32","614820f9e6",717845.09166518,9676573.11819639,2604.4,6.70722,3,1685428946,0.0322553846234945,0.00111111111111111,29.0298461611451
"33","614820f9e6",717834.619973903,9676555.73940296,2608.3,6.72694,3,1685429017,0.0202898688870402,0.0197222222222222,1.02878208441331
"34","614820f9e6",717833.306787199,9676529.6516133,2604,6.72833,3,1685429022,0.0261208198279984,0.00138888888888889,18.8069902761588
"35","614820f9e6",717853.63302018,9676510.2725197,2604,6.72917,3,1685429025,0.0280838924648018,0.000833333333333333,33.7006709577622
"36","614820f9e6",717895.719573423,9676490.42407935,2604,6.73,3,1685429028,0.0465321238300172,0.000833333333333333,55.8385485960206
"37","614820f9e6",717943.331981094,9676489.32340349,2604,6.73083,3,1685429031,0.0476251283625818,0.000833333333333333,57.1501540350981
"38","614820f9e6",717995.488263911,9676504.98144927,2604,6.73167,3,1685429034,0.0544559660168404,0.000833333333333333,65.3471592202084
"39","614820f9e6",718055.509670254,9676516.27922664,2604,6.7325,3,1685429037,0.0610754369047487,0.000833333333333333,73.2905242856984
"40","614820f9e6",718122.551882926,9676536.37938737,2604,6.73361,3,1685429041,0.0699905332278074,0.00111111111111111,62.9914799050267
"41","614820f9e6",718186.229955993,9676553.02368358,2604,6.73444,3,1685429044,0.0658173957673525,0.000833333333333333,78.980874920823
"42","614820f9e6",718253.155349749,9676569.86135582,2604,6.73528,3,1685429047,0.069010981270443,0.000833333333333333,82.8131775245316
"43","614820f9e6",718324.317950037,9676587.02338611,2604,6.73611,3,1685429050,0.0732028070732786,0.000833333333333333,87.8433684879343
"44","614820f9e6",718393.739358806,9676606.78749855,2604,6.73694,3,1685429053,0.0721799981705274,0.000833333333333333,86.6159978046329
"45","614820f9e6",718468.458888844,9676623.11376121,2604,6.73778,3,1685429056,0.0764823837342181,0.000833333333333333,91.7788604810617
