"","tripid","ox","oy","oz","departure","dx","dy","dz","arrival","tdistance","ttime","dow","timestamp","uid","id","stayindestination","dtrips","home"
"1","1",717228.913384781,9676882.72681051,2617.3,6.65778,722224.125269308,9677164.73041794,2541.8,6.89806,6.16368256625774,0.24028,3,1685429633,"614820f9e6",1,1544.004,66,"N"
"2","10",717055.526529417,9677056.46738645,2614.1,6.38667,722280.717709513,9677153.85729271,2539,7.08667,9.02073527300255,0.7,4,1685516712,"614820f9e6",2,21321,12,"N"
"3","100",722236.135299835,9677240.06132919,2535.6,11.89028,722399.227838527,9677281.44573867,2531.6,12.30917,0.693993146878277,0.418889999999999,5,1686831513,"614820f9e6",3,4537.98,8,"N"
"4","101",722352.276584201,9677248.68079714,2535.4,13.11083,722195.088212716,9677181.91407758,2537.5,13.15083,0.209157603274221,0.0399999999999991,5,1686834543,"614820f9e6",4,3795.012,66,"N"
"5","102",722175.4233324,9677154.19931852,2544.8,13.99944,722334.385786416,9677286.91411355,2533.2,14.165,0.301239950206987,0.165559999999999,5,1686838194,"614820f9e6",5,3728.016,6,"N"
"6","103",722095.422816297,9677271.16891378,2536.9,14.45417,717004.3363163,9677065.53681014,2617.3,15.035,6.60317017537796,0.580830000000001,5,1686841326,"614820f9e6",6,11458.98,33,"Y"
"7","104",717676.650183166,9676725.50647379,2607.2,17.58083,718951.04877017,9676537.64893963,2617.5,17.63722,1.87179844496179,0.0563900000000004,5,1686850694,"614820f9e6",7,16.45834,22,"N"
"8","105",716993.163278567,9677066.80596337,2617.3,10.00972,717002.625394434,9677059.9988436,2617.3,10.03917,0.0997037737002728,0.0294500000000006,1,1687082541,"614820f9e6",8,5348.016,33,"Y"
"9","106",717838.589164068,9676587.28610047,2617.3,10.94472,730896.634826964,9679576.9377981,2688,11.49528,19.7274067293319,0.550559999999999,1,1687087783,"614820f9e6",9,28785.024,22,"N"
"10","107",728795.976143155,9681474.62222837,-1,18.16194,718886.570335309,9676546.70950925,2649.7,18.94056,26.6159146812018,0.77862,1,1687114586,"614820f9e6",10,9170.99999999999,21,"N"
"11","108",718861.288912808,9676536.76679794,2649.7,20.70639,718881.352039496,9676557.59051469,2649.7,20.70944,0.0597192658932673,0.00305000000000177,1,1687120954,"614820f9e6",11,5763.996,21,"N"
"12","109",718888.302439458,9676557.92117793,2649.7,22.04056,717015.557347871,9677072.69510663,2615,22.3075,3.3864794568616,0.266940000000002,1,1687126707,"614820f9e6",12,11.52222,33,"Y"
"13","11",722333.325101781,9677146.92861039,2539.9,9.34611,722280.53339147,9677262.84358319,2535.3,9.56278,0.878972938887911,0.216670000000001,4,1685525626,"614820f9e6",13,22.95,66,"N"
"14","110",716997.934801518,9677054.68724635,2616.6,7.68,722311.61227019,9677180.71151696,2535.3,8.29611,8.34743209989349,0.616110000000001,2,1687162666,"614820f9e6",14,10982.988,12,"N"
"15","111",722352.227956898,9677171.31563998,2539.4,10.66,722220.553397392,9677244.73425147,2535.9,10.73083,0.220428495024035,0.0708299999999991,2,1687171431,"614820f9e6",15,6027.012,66,"N"
"16","112",722228.791422413,9677262.44890321,2538.7,12.10889,722217.530987589,9677195.93153615,2538,12.33417,0.284419362683653,0.22528,2,1687177203,"614820f9e6",16,3935.988,66,"N"
"17","113",722217.427773655,9677169.14423117,2544.8,13.00306,722205.009205736,9677189.28457044,2538.1,13.20222,0.0985106263148385,0.199160000000001,2,1687180328,"614820f9e6",17,6571.98,66,"N"
"18","114",722210.859588471,9677171.23519935,2544.8,14.06361,722307.201803333,9677183.05303562,2535.2,14.82861,1.77721057239977,0.764999999999999,2,1687186183,"614820f9e6",18,7575.012,12,"N"
"19","115",722302.583173885,9677299.73397564,2531.6,15.86389,721064.287125376,9678660.97041851,2627.7,16.16778,3.55058094498329,0.303890000000001,2,1687191004,"614820f9e6",19,3281.00399999999,22,"N"
"20","116",720832.025319203,9678839.31201711,2551,16.42389,717000.395768632,9677063.12156624,2617.3,16.77528,6.27726944627891,0.351389999999999,2,1687193191,"614820f9e6",20,14.40333,33,"Y"
"21","117",716943.42527675,9676983.63450355,2618.1,6.62889,722220.530754139,9677175.68627669,2537.9,6.82722,7.81535626599628,0.198329999999999,3,1687243778,"614820f9e6",21,7212.996,66,"N"
"22","118",722225.547668956,9677157.93700639,2557,8.59444,722196.816773079,9677228.50707289,2538.6,8.6325,0.146671437352234,0.0380599999999998,3,1687250277,"614820f9e6",22,8896.032,66,"N"
"23","119",722217.146113684,9677179.59649756,2537.7,11.05944,722218.462438717,9677169.4299538,2539.8,11.06556,0.0212362825568841,0.00611999999999924,3,1687259036,"614820f9e6",23,5137.02,66,"N"
"24","12",722242.190124744,9677236.93162769,2535.7,12.19222,722293.274907095,9677142.89655007,2539.3,12.48639,0.361385590336495,0.294169999999999,4,1685536151,"614820f9e6",24,3041.99999999999,12,"N"
"25","120",722215.113930315,9677174.89958025,2537.7,12.71111,722202.641439581,9677183.47118267,2545.1,13.03722,0.197594360009221,0.32611,3,1687266134,"614820f9e6",25,5433.012,66,"N"
"26","121",722215.618079412,9677158.2422195,2539.8,14.08944,722281.055215291,9677256.12919114,2535.3,14.22028,0.261119854245255,0.130840000000001,3,1687270393,"614820f9e6",26,1900.008,66,"N"
"27","122",722258.003928905,9677262.6292467,2535,14.50556,722306.271260106,9677160.02761419,2540.4,14.61722,0.430964431440673,0.111660000000001,3,1687271822,"614820f9e6",27,8914.96800000001,12,"N"
"28","123",722317.399740871,9677208.5836759,2535.3,16.93472,722184.610508063,9677211.6842809,2542.4,16.98194,0.219351384409188,0.0472200000000029,3,1687280335,"614820f9e6",28,4593.024,66,"N"
"29","124",722205.738314816,9677217.86249231,2540.9,18.09528,722189.826947362,9677199.82967822,2538,18.21056,0.317010431168303,0.115280000000002,3,1687284758,"614820f9e6",29,1648.00799999999,66,"N"
"30","125",721611.162390459,9677090.68773849,2575.5,18.4775,718811.081000342,9676896.98616021,2578.5,18.55306,3.53961465275217,0.0755599999999994,3,1687285991,"614820f9e6",30,3179.016,22,"N"
"31","126",718804.881690327,9676912.82368476,2578.2,18.96889,717004.415381953,9677079.05169407,2617.5,19.36056,6.11434711026719,0.391670000000001,3,1687288898,"614820f9e6",31,13.04417,33,"Y"
"32","127",717271.264008132,9676867.58973663,2617.3,7.81861,722226.129480395,9677172.45784416,2538,8.01306,7.47713611946334,0.19445,4,1687334447,"614820f9e6",32,7121.988,66,"N"
"33","128",722218.209208703,9677164.59715351,2539.8,9.76944,722222.270142659,9677234.62229678,2536.2,9.79694,0.126769689678645,0.0274999999999999,4,1687340869,"614820f9e6",33,8689.032,66,"N"
"34","129",722273.03123741,9677214.95574298,2535.3,11.94306,722402.915224454,9677291.448554,2531.2,12.18306,0.213587370800333,0.24,4,1687349459,"614820f9e6",34,4249.98,8,"N"
"35","13",722249.204655749,9677166.89784765,2539,13.08472,722192.933377002,9677177.0293573,2538,13.12361,0.102929193256819,0.0388899999999985,4,1685538445,"614820f9e6",35,23.42722,66,"N"
"36","130",722354.930845512,9677234.25373582,2535.3,12.44583,722223.857085383,9677207.7877469,2537.5,12.51194,0.143745932623501,0.0661099999999983,4,1687350643,"614820f9e6",36,2286,66,"N"
"37","131",722219.134517878,9677178.43165584,2544.5,13.06111,722189.183502295,9677175.65351349,2545,13.08083,0.0613712523820471,0.0197200000000013,4,1687352691,"614820f9e6",37,4101.012,66,"N"
"38","132",722202.332853133,9677185.03120081,2545.1,14.07528,722323.496500263,9677297.83870729,2531.6,14.20028,0.310748511571686,0.125,4,1687356721,"614820f9e6",38,3376.98,6,"N"
"39","133",721583.242189011,9677098.04792251,2579.5,14.51917,717004.967022417,9677076.55123146,2616.2,15.01333,7.16436612669922,0.494159999999999,4,1687359648,"614820f9e6",39,16.71361,33,"Y"
"40","134",717099.691217338,9677016.59764769,2635,6.62722,722203.481508004,9677230.68512261,2538.6,7.23278,8.11352663365206,0.60556,5,1687418038,"614820f9e6",40,11991.024,66,"N"
"41","135",722287.295940995,9677288.76743492,2598,9.13083,722216.11926284,9677233.75948272,2538.6,9.95806,0.616338592835374,0.82723,5,1687427849,"614820f9e6",41,10361.016,66,"N"
"42","136",722234.285064927,9677237.63140213,2535.7,11.74111,722272.369826662,9677236.97752377,2534.9,12.00889,0.36460329284028,0.267779999999998,5,1687435232,"614820f9e6",42,3581.99999999999,66,"N"
"43","137",722292.555680566,9677244.971253,2534.9,12.73222,722281.788388311,9677243.19866212,2535,12.73611,0.0217879312781636,0.00389000000000017,5,1687437850,"614820f9e6",43,990,66,"N"
"44","138",722283.100083436,9677224.17300402,2535.3,12.96167,722184.533974632,9677174.87651221,2537.8,13.00722,0.137534431953046,0.0455500000000004,5,1687438826,"614820f9e6",44,4703.976,66,"N"
"45","139",722207.742750491,9677175.66476706,2539.8,14.09028,722338.586631079,9677285.50201529,2533,14.26833,0.263722079857276,0.178050000000001,5,1687443366,"614820f9e6",45,383.003999999994,6,"N"
"46","14",722215.267526744,9677192.49587766,2544.7,14.06778,722316.799532195,9677183.72169325,2535.3,14.19667,0.372059496133078,0.128889999999998,4,1685542308,"614820f9e6",46,3594.996,12,"N"
